source,vest,,,,,
5-1001:DS1,"5-1001:DS1,SD1",,,,,
5-1001:SD1,"5-1001:DS1,SD1",,,,,
5-1001:SD2,"5-1001:DS2,SD2",,,,,
5-1001:DS2,"5-1001:DS2,SD2",,,,,
5-1002:MS3,"5-1002:MS3,SD3",,,,,
5-1002:MS3,"5-1002:MS3,SD3",,,,,
6-CF01:I-N-,6-CF01,,,,,
7-RO92,7-R092,,,,,
10-01:470,10-01:70,,,,,
10-01:570,10-01:70,,,,,
10-02:569,10-02:69,,,,,
10-02:570,10-02:70,,,,,
10-02:470,10-02:70,,,,,
10-03:570,10-03:70,,,,,
10-03:470,10-03:70,,,,,
10-04:569,10-04:69,,,,,
10-04:470,10-04:70,,,,,
10-04:570,10-04:70,,,,,
10-05:569,10-05:69,,,,,
10-05:470,10-05:70,,,,,
10-05:570,10-05:70,,,,,
10-06:469,10-06:69,,,,,
10-06:569,10-06:69,,,,,
10-06:470,10-06:70,,,,,
10-06:570,10-06:70,,,,,
10-07:569,10-07:69,,,,,
10-07:570,10-07:70,,,,,
10-08:469,10-08:69,,,,,
10-08:569,10-08:69,,,,,
10-09:569,10-09:69,,,,,
10-09:470,10-09:70,,,,,
10-09:570,10-09:70,,,,,
10-10:470,10-10:70,,,,,
10-10:570,10-10:70,,,,,
10-11:469,10-11:69,,,,,
10-11:569,10-11:69,,,,,
10-11:470,10-11:70,,,,,
10-11:570,10-11:70,,,,,
15-10:2,15-10:4,,,,,
15-11:2,15-11:4,,,,,
15-12:2,15-12:4,,,,,
15-13:2,15-13:5,,,,,
15-14:3,15-14:5,,,,,
15-15:2,15-15:5,,,,,
15-4:1,15-4:2,,,,,
15-5:3,15-5:2,,,,,
15-6:3,15-6:2,,,,,
18-RIV001:00,18-RIV001,,,,,
18-RIV004:00,18-RIV004,,,,,
18-RIV005:00,18-RIV005,,,,,
18-TAY001:01,18-TAY001,,,,,
18-TAY001:90,18-TAY001,,,,,
18-TAY002:00,18-TAY002,,,,,
not found,18-WHT005,,,,,
21-1:1,21-1,,,,,
21-1:2,21-1,,,,,
21-10:1,21-10,,,,,
21-10:2,21-10,,,,,
21-11:2,21-11.2,,,,,
21-12:1,21-12,,,,,
21-2:1,21-2,,,,,
21-2:2,21-2,,,,,
21-20:2,21-20.2,,,,,
21-21:1,21-21,,,,,
21-23:2,21-23.2,,,,,
21-24:2,21-24.2,,,,,
21-4:1,21-4,,,,,
21-4:2,21-4,,,,,
21-5:1,21-5,,,,,
21-5:2,21-5,,,,,
21-6:1,21-6,,,,,
21-6:2,21-6,,,,,
21-7:1,21-7.1.3,,,,,
21-7:3,21-7.1.3,,,,,
21-7:2,21-7.2,,,,,
21-8:1,21-8,,,,,
21-8:2,21-8,,,,,
21-9:1,21-9,,,,,
21-9:2,21-9,,,,,
not found,22-HOYT18uninc,,,,,
not found,23-ERD-02:1,,,,,
not found,23-ERD-02:2,,,,,
not found,23-ERD-02:3,,,,,
23-RV-01:1,23-RV-01:1-01:2,,,,,
23-RV-01:2,23-RV-01:1-01:2,,,,,
23-STK-01:1,23-STK-01:1-01:2,,,,,
23-STK-01:2,23-STK-01:1-01:2,,,,,
23-STK-02:1,23-STK-02:1-02:2,,,,,
23-STK-02:2,23-STK-02:1-02:2,,,,,
23-T-03:1,23-T-03:1-03:2,,,,,
23-T-03:2,23-T-03:1-03:2,,,,,
23-T-04:1,23-T-04:1-04:2,,,,,
23-T-04:2,23-T-04:1-04:2,,,,,
23-VRN-01:1,23-VRN-01:1-01:2,,,,,
23-VRN-01:2,23-VRN-01:1-01:2,,,,,
not found,25-LE12:UN,,,,,
not found,25-LE15:UN,,,,,
not found,25-PG01:UN,,,,,
not found,25-PG05S:UN,,,,,
not found,29-CYN001,,,,,
not found,29-HTV002,,,,,
not found,29-WCR001,,,,,
not found,29-WCR002,,,,,
not found,29-WCS001,,,,,
not found,29-LAKE,,,,,
not found,29-UNKN,,,,,
8-9:20,8-9,,,,,
8-9:21,8-9,,,,,
8-3:5,8-3,,,,,
8-3:6,8-3,,,,,
8-11:24,8-11,,,,,
8-11:25,8-11,,,,,
8-5:10,8-5,,,,,
8-5:9,8-5,,,,,
8-7:14,8-7,,,,,
8-7:15,8-7,,,,,
8-6:11,8-6,,,,,
8-6:13,8-6,,,,,
8-1:1,8-1,,,,,
8-1:2,8-1,,,,,
8-12:26,8-12,,,,,
8-12:27,8-12,,,,,
8-13:28,8-13,,,,,
8-13:29,8-13,,,,,
